;target;fixation_x;entropy_x;fixation_y;entropy_y;difference_entropy
925;האסירים;2.0;1.5233;6.0;5.8907;-4.3674
2892;ייסורים;2.0;0.4632;6.0;4.829499999999999;-4.366299999999999
3480;לקטינים;2.0;0.9298;6.0;5.2914;-4.3616
5408;שרוולים;2.0;0.8513;6.0;5.2109000000000005;-4.3596
3821;מודיעים;2.0;0.9701000000000002;6.0;5.3269;-4.3568
1936;העצורים;2.0;1.6754000000000004;6.0;6.0295;-4.354099999999999
3942;מחמירות;2.0;1.3519;6.0;5.7045;-4.352600000000001
5198;שחשובים;2.0;0.9499;6.0;5.2954;-4.3454999999999995
1919;העכברים;2.0;1.2896;6.0;5.6296;-4.34
2827;חשבונות;2.0;0.9323999999999998;6.0;5.258799999999999;-4.3264
4245;מצלצלים;2.0;0.9304;6.0;5.2549;-4.3245000000000005
368;בטעויות;2.0;1.1869;6.0;5.5047000000000015;-4.317800000000002
2483;ואוהבים;2.0;1.6197000000000004;6.0;5.933100000000001;-4.3134000000000015
3657;מדפיסים;2.0;0.6798;6.0;4.9928;-4.313
4687;עניינים;2.0;1.6510000000000002;6.0;5.961;-4.3100000000000005
5529;תצהירים;2.0;0.4484;6.0;4.7525;-4.3041
4684;עכבישים;2.0;0.8946999999999999;6.0;5.1949999999999985;-4.300299999999998
4006;מיקומים;2.0;2.1771000000000003;6.0;6.4731;-4.295999999999999
5380;שעשועים;2.0;1.5843000000000005;6.0;5.8792;-4.294899999999999
3375;למשאיות;2.0;0.7055;6.0;4.999299999999999;-4.293799999999999
3919;מזריקים;2.0;0.3976000000000001;6.0;4.681699999999998;-4.284099999999999
711;בשנתיים;2.0;0.7147;6.0;4.9981;-4.2834
1065;הדיירים;2.0;2.3693;6.0;6.6518;-4.2825
2197;השבורים;2.0;2.3398;6.0;6.620599999999999;-4.280799999999999
1003;הברכיים;2.0;1.2928000000000002;6.0;5.5734;-4.2806
3394;לנוסעים;2.0;1.1651;6.0;5.4445;-4.2794
2869;טרופיים;2.0;1.3035;6.0;5.5741999999999985;-4.270699999999998
3274;לטעויות;2.0;0.6085999999999999;6.0;4.8735;-4.2649
610;בצהריים;2.0;0.1228;6.0;4.3828000000000005;-4.260000000000001
5397;שקופיות;2.0;0.9535;6.0;5.2106;-4.2571
826;האדומים;2.0;2.2881;6.0;6.5443;-4.2562
4673;עיסוקים;2.0;0.7722000000000001;6.0;5.0131999999999985;-4.240999999999999
