,frequency,target,Unnamed: 0,fixation_x,entropy_x,fixation_y,entropy_y,difference_entropy
77,103.54068360928149,imagine,3585,2.0,0.63175,6.0,1.8163,-1.18455
78,102.68921311384106,suppose,7100,2.0,2.24795,6.0,1.2338999999999998,1.01405
79,102.60874447361263,instead,3671,2.0,1.5575,6.0,0.6389,0.9186
80,99.51350887040722,forever,2773,2.0,1.88275,6.0,2.3447,-0.4619500000000001
81,99.01385475550043,station,6924,2.0,2.3080000000000003,6.0,2.6025000000000005,-0.2945000000000002
82,98.63771064652565,message,4560,2.0,2.08385,6.0,2.2009,-0.11704999999999988
83,98.19232607967987,history,3434,2.0,0.8847500000000004,6.0,2.18495,-1.3001999999999998
84,96.311605534806,charlie,1329,2.0,3.2156000000000007,6.0,0.6646,2.5510000000000006
85,94.23813452612909,protect,5582,2.0,2.3328999999999995,6.0,2.2214,0.11149999999999947
86,93.56257222095549,present,5522,2.0,2.2787,6.0,1.93845,0.34025000000000016
87,92.88139582460316,sitting,6617,2.0,0.95045,6.0,4.500549999999999,-3.5500999999999987
88,91.91577214186192,bastard,567,2.0,1.5825,6.0,1.1389999999999998,0.4435000000000002
89,90.68067208254178,quickly,5673,2.0,1.2030500000000004,6.0,0.4681499999999999,0.7349000000000006
90,89.42311565850667,wearing,7884,2.0,2.21865,6.0,5.4413,-3.22265
91,88.06637695698072,stopped,6993,2.0,1.2437,6.0,3.12965,-1.88595
92,87.03525554382101,service,6398,2.0,2.1419000000000006,6.0,1.0463,1.0956000000000006
93,87.02028463401106,certain,1281,2.0,0.7843500000000001,6.0,1.8782,-1.09385
94,86.41583415043469,america,192,2.0,0.59035,6.0,0.68315,-0.0928
95,85.59243411088791,whether,7943,2.0,0.9904,6.0,2.7786500000000007,-1.7882500000000008
96,84.84575998411707,respect,5944,2.0,1.5082999999999998,6.0,2.205199999999999,-0.6968999999999994
97,84.29183632114923,killing,3910,2.0,1.7493500000000002,6.0,4.782549999999999,-3.0331999999999986
98,84.03733085438023,forward,2800,2.0,1.2003,6.0,1.0936499999999998,0.10665000000000012
99,82.69743442639046,english,2379,2.0,1.4768000000000003,6.0,2.1199000000000003,-0.6431
100,79.65459700751984,teacher,7242,2.0,1.0448,6.0,3.13315,-2.08835
101,78.87610969740291,college,1553,2.0,2.02235,6.0,0.435,1.5873499999999998
102,78.26978785010027,neither,4835,2.0,1.06745,6.0,2.459600000000001,-1.3921500000000009
103,78.25107421283784,besides,704,2.0,1.9279000000000004,6.0,2.62475,-0.6968499999999997
104,78.20803284713426,realize,5795,2.0,3.4529000000000014,6.0,0.4032000000000001,3.0497000000000014
105,78.18183375496686,private,5551,2.0,2.5645,6.0,1.8765499999999995,0.6879500000000003
106,77.94229919800779,walking,7817,2.0,1.6137500000000002,6.0,4.49285,-2.8790999999999998
107,76.77831096028486,machine,4284,2.0,0.97185,6.0,1.23795,-0.2661000000000001
108,75.391630439139,village,7753,2.0,2.5449,6.0,1.6949999999999998,0.8499000000000003
109,74.27442629457214,contact,1635,2.0,2.316349999999999,6.0,1.2392499999999995,1.0770999999999995
110,74.04611991997055,hundred,3533,2.0,1.092,6.0,2.7658,-1.6738
111,73.46038307365656,driving,2223,2.0,1.0569000000000002,6.0,4.597,-3.5401
112,70.49427156756191,colonel,1559,2.0,1.7186499999999996,6.0,1.0517,0.6669499999999995
113,70.15742609683825,seconds,6340,2.0,1.30355,6.0,1.2076000000000002,0.09594999999999976
114,70.07321472915731,partner,5175,2.0,2.7763,6.0,1.7009500000000002,1.0753499999999998
115,69.72701243980242,singing,6603,2.0,1.45555,6.0,5.0261,-3.57055
116,69.21238741508567,staying,6930,2.0,2.1773,6.0,4.252549999999999,-2.0752499999999987
117,68.68466284428524,putting,5646,2.0,0.7830499999999998,6.0,4.7265000000000015,-3.9434500000000017
118,68.02781417637406,support,7099,2.0,1.3221,6.0,1.64805,-0.32595
119,67.51506051538357,holding,3454,2.0,1.5339000000000005,6.0,4.575199999999998,-3.041299999999997
120,67.30921050549685,usually,7654,2.0,0.101,6.0,2.04195,-1.94095
121,67.21564231918474,kitchen,3936,2.0,1.8275,6.0,0.92935,0.8981499999999999
122,67.06780458481157,patient,5193,2.0,1.19395,6.0,2.06085,-0.8668999999999998
123,65.85703225393254,address,58,2.0,0.2753,6.0,2.75205,-2.47675
